"","Date","Total","Public Housing","Private assisted","Private unassisted","Prefabs","Housing associations","Demolitions","Adjustments","Housing Stock Estimate","Private Build Rate","Public Build Rate","Total Build Rate","Estimated Change in Housing Stock","Rate of Stock Growth","Rate of Stock Growth Two Year Rolling Average"
"111",1968-01-01,371.7,152.4,0,213.3,0,6,71.6,-5.26684745762685,16485.2958927586,1.29388032454847,0.960856274770168,2.25473659931863,294.833152542378,1.78846139287004,1.58430041180169
"112",1969-01-01,324.2,143.7,0,173.4,0,7.2,72.7,-2.11938983050856,16716,1.03732950466619,0.902727925340991,1.94005743000718,230.704107241385,1.38013943073334,1.33665961793531
"113",1970-01-01,307.3,137,0,162.1,0,8.2,71.1,0.740178032589172,16935,0.957189253026277,0.857395925597874,1.81458517862415,219,1.29317980513729,1.35102024546903
"114",1971-01-01,309.8,119.4,0,180,0,10.3,74.7,-2.31042546771273,17177,1.04791290679397,0.755079466728765,1.80299237352273,242,1.40886068580078,1.27705925634422
"115",1972-01-01,287.3,95.4,0,184.6,0,7.3,67.8,-1.38095956547978,17376,1.06238489871087,0.591045119705341,1.65343001841621,199,1.14525782688766,1.10781452036708
"116",1973-01-01,264,81,0,174.4,0,8.6,62.5,-0.499773687387118,17564,0.992940104759736,0.510134365748121,1.50307447050786,188,1.0703712138465,1.08420300655161
"117",1974-01-01,241.2,102.1,0,129.7,0,9.4,40.9,-0.530687990343905,17759,0.730333915197928,0.627850667267301,1.35818458246523,195,1.09803479925671,1.15809516133711
"118",1975-01-01,278.8,124.4,0,140.4,0,13.9,51.2,-0.672057936028743,17978,0.780954499944376,0.76927355656914,1.55022805651352,219,1.21815552341751,1.22710775676452
"119",1976-01-01,278.7,125.6,0,138.5,0,14.6,45,-0.285153892577243,18203,0.760863593913091,0.770202713838378,1.53106630775147,225,1.23605999011152,1.24994581193578
"120",1977-01-01,276.1,122.7,0,128.7,0,24.6,38.9,-0.105642727821108,18436,0.698090692124105,0.798980256020829,1.49707094814493,233,1.26383163376003,1.22153845838945
"121",1978-01-01,254.1,97.8,0,134.6,0,21.6,32.3,-0.199803862402038,18656,0.721483704974271,0.640008576329331,1.3614922813036,220,1.17924528301887,1.08845516114433
"122",1979-01-01,220.8,78.1,0,125.4,0,17.3,28.7,-4.26949305974663,18844,0.665463808108682,0.506261940140098,1.17172574824878,188,0.997665039269794,0.731243252785119
"123",1980-01-01,214.9,78.5,0,116.2,0,20.2,28.3,0.79844598672318,18932,0.613775618001268,0.521339530952884,1.13511514895415,88,0.464821466300444,0.690358082289281
"124",1981-01-01,179.8,58.4,0,104,0,17.4,23.5,0.0319100784549618,19107,0.54430313497671,0.396713246454179,0.941016381430889,175,0.915894698278118,0.82937592056763
"125",1982-01-01,159.4,33.5,0,113.9,0,12,17.3,0.0313216656608518,19250,0.591688311688312,0.236363636363636,0.828051948051948,143,0.742857142857143,0.811673666943735
"126",1983-01-01,181.4,31.6,0,134.9,0,14.9,11.6,-0.0315027157514088,19421,0.694608928479481,0.239431543174914,0.934040471654395,171,0.880490191030328,0.896877748576388
"127",1984-01-01,191.1,31.3,0,145.3,0,14.5,10.3,0.0279722389861647,19600,0.741326530612245,0.233673469387755,0.975,179,0.913265306122449,0.889084223543244
"128",1985-01-01,178.3,24.4,0,142,0,11.9,9.1,0.00411888955943479,19771,0.718223660917505,0.183602245713419,0.901825906630924,171,0.864903140964038,0.886040183152428
"129",1986-01-01,187.7,20.5,0,156.1,0,11.2,7,0.862854556427286,19952,0.782377706495589,0.158881315156375,0.941259021651965,181,0.907177225340818,1.13093460297991
"130",1987-01-01,198.9,17.4,0,169.9,0,11.4,6.6,0.0945986722993362,20226,0.840007910610106,0.142390981904479,0.982398892514585,274,1.35469198061901,1.20809001026743
"131",1988-01-01,214.2,16.9,0,185.7,0,11.5,6.7,0.113216656608299,20443,0.908379396370396,0.138922858680233,1.04730225505063,217,1.06148803991586,1.00557322679935
"132",1989-01-01,191,15.3,0,163.3,0,12.3,6.2,0.0757694628847519,20639,0.791220504869422,0.133727409273705,0.924947914143127,196,0.949658413682833,0.899982934743031
"133",1990-01-01,175.1,0,0,144.8,0,15.6,6.2,-1.15805672902836,20816,0.695618754803997,0.0749423520368947,0.770561106840892,177,0.850307455803228,0.518656485034196
"134",1991-01-01,165.2,0,0,138.8,0,17.8,2.4,0.0832830416415208,20855,0.665547830256533,0.0853512347158955,0.750899064972429,39,0.187005514265164,0.509575034831108
"135",1992-01-01,154.1,0,0,127,0,23.4,2.1,0.0237628243814122,21030,0.603899191631003,0.111269614835949,0.715168806466952,175,0.832144555397052,0.795950527899083
"136",1993-01-01,157.6,0,0,123.3,0,32.7,4.1,0.00123717561856981,21191,0.581850785710915,0.154310792317493,0.736161578028408,161,0.759756500401114,0.759216048168056
"137",1994-01-01,165.2,0,0,133,0,33.8,3.4,0.0564272782136391,21353,0.622863297897251,0.158291574954339,0.78115487285159,162,0.758675595934997,0.788088785008235
